prod,subfund,issuer,date_auth,doc,deriv,type,id_prod,id_subfund,url_doc,name_subfund,name_prod,diff_text,year
AXA World Funds (AEU586),AXA World Funds - Framlington Evolving Trends (BSF129),AXA Funds Management S.A.,2022-04-13,Offering Documents,No,11,AEU586,BSF129,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSF129&docType=OD,AXA World Funds - Framlington Evolving Trends,AXA World Funds,- Framlington Evolving Trends,2022
AXA World Funds (AEU586),AXA World Funds - Global Factors - Sustainable Equity (BSF128),AXA Funds Management S.A.,2022-04-13,Offering Documents,No,11,AEU586,BSF128,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSF128&docType=OD,AXA World Funds - Global Factors - Sustainable Equity,AXA World Funds,- Global Factors - Sustainable Equity,2022
AXA World Funds (AEU586),AXA World Funds - Global Strategic Bonds (BQQ356),AXA Funds Management S.A.,2021-03-26,Offering Documents,No,13,AEU586,BQQ356,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQQ356&docType=OD,AXA World Funds - Global Strategic Bonds,AXA World Funds,- Global Strategic Bonds,2021
Barings International Umbrella Fund (AAV969),Barings Eastern Europe Fund (BRV111),Baring International Fund Managers (Ireland) Limited,2021-12-28,,No,0,AAV969,BRV111,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV111&docType=OD,Barings Eastern Europe Fund,Barings International Umbrella Fund,Eastern Europe,2021
Barings International Umbrella Fund (AAV969),Barings Global Balanced Fund (BQR236),Baring International Fund Managers (Ireland) Limited,2021-03-17,Offering Documents,No,11,AAV969,BQR236,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQR236&docType=OD,Barings Global Balanced Fund,Barings International Umbrella Fund,Global Balanced,2021
Barings International Umbrella Fund (AAV969),Barings Global Emerging Markets Fund (BRV112),Baring International Fund Managers (Ireland) Limited,2021-12-28,,No,0,AAV969,BRV112,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV112&docType=OD,Barings Global Emerging Markets Fund,Barings International Umbrella Fund,Global Emerging Markets,2021
Barings International Umbrella Fund (AAV969),Barings Global Leaders Fund (BRV113),Baring International Fund Managers (Ireland) Limited,2021-12-28,,No,0,AAV969,BRV113,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV113&docType=OD,Barings Global Leaders Fund,Barings International Umbrella Fund,Global Leaders,2021
Barings International Umbrella Fund (AAV969),Barings Global Resources Fund (BRV114),Baring International Fund Managers (Ireland) Limited,2021-12-28,,No,0,AAV969,BRV114,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV114&docType=OD,Barings Global Resources Fund,Barings International Umbrella Fund,Global Resources,2021
Barings International Umbrella Fund (AAV969),Barings Latin America Fund (BRV115),Baring International Fund Managers (Ireland) Limited,2021-12-28,,No,0,AAV969,BRV115,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV115&docType=OD,Barings Latin America Fund,Barings International Umbrella Fund,Latin America,2021
Barings Umbrella Fund plc (BNC267),Barings Developed and Emerging Markets High Yield Bond Fund (BSD678),Baring International Fund Managers (Ireland) Limited,2022-03-14,Offering Documents,No,11,BNC267,BSD678,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSD678&docType=OD,Barings Developed and Emerging Markets High Yield Bond Fund,Barings Umbrella Fund plc,Developed and Emerging Markets High Yield Bond,2022
Barings Umbrella Fund plc (BNC267),Barings Global Bond Fund (BSD679),Baring International Fund Managers (Ireland) Limited,2022-03-14,Offering Documents,No,11,BNC267,BSD679,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSD679&docType=OD,Barings Global Bond Fund,Barings Umbrella Fund plc,Global Bond,2022
Barings Umbrella Fund plc (BNC267),Barings USD Liquidity Fund (BPJ778),Baring International Fund Managers (Ireland) Limited,2020-05-20,Offering Documents,No,15,BNC267,BPJ778,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPJ778&docType=OD,Barings USD Liquidity Fund,Barings Umbrella Fund plc,USD Liquidity,2020
